time_myr,M_sw_mol,delta_sw_permil,f_silicate,f_carbonate,flux_multiplier,delta_river_permil
0.9218436873747495,7.3e+19,0.8165665473574163,0.7607573241467805,0.23924267585321946,1.0,-0.2827882813651511
0.9318637274549099,7.3e+19,0.8170568570748473,0.7614286967400941,0.23857130325990594,1.0,-0.2817140852158495
0.9418837675350702,7.3e+19,0.8175476423688598,0.7621000693334075,0.23789993066659254,1.0,-0.2806398890665481
0.9519038076152304,7.3e+19,0.818038902930011,0.762771441926721,0.23722855807327903,1.0,-0.2795656929172464
0.9619238476953909,7.3e+19,0.8185306384336529,0.7634428145200345,0.23655718547996551,1.0,-0.2784914967679448
0.9719438877755512,7.3e+19,0.8190228485399323,0.764114187113348,0.235885812886652,1.0,-0.2774173006186432
0.9819639278557114,7.3e+19,0.8195155328937906,0.7647855597066615,0.2352144402933385,1.0,-0.27634310446934157
0.9919839679358718,7.3e+19,0.8200086911249641,0.765456932299975,0.23454306770002498,1.0,-0.27526890832004
1.002004008016032,7.3e+19,0.8205023228479839,0.7661283048932885,0.23387169510671146,1.0,-0.2741947121707383
1.0120240480961924,7.3e+19,0.8209964276621757,0.7667996774866019,0.23320032251339806,1.0,-0.2731205160214369
1.0220440881763528,7.3e+19,0.8214910051516603,0.7674710500799156,0.23252894992008444,1.0,-0.2720463198721351
1.032064128256513,7.3e+19,0.8219860548853528,0.768142422673229,0.23185757732677104,1.0,-0.27097212372283364
1.0420841683366735,7.3e+19,0.8224815764169636,0.7688137952665425,0.23118620473345752,1.0,-0.26989792757353204
1.0521042084168337,7.3e+19,0.8229775692849974,0.769485167859856,0.230514832140144,1.0,-0.26882373142423044
1.062124248496994,7.3e+19,0.823474033012754,0.7701565404531695,0.2298434595468305,1.0,-0.2677495352749288
1.0721442885771544,7.3e+19,0.8239709671083278,0.770827913046483,0.22917208695351698,1.0,-0.2666753391256272
1.0821643286573146,7.3e+19,0.824468371064608,0.7714992856397965,0.22850071436020347,1.0,-0.26560114297632553
1.092184368737475,7.3e+19,0.8249662443592788,0.77217065823311,0.22782934176688996,1.0,-0.26452694682702393
1.1022044088176355,7.3e+19,0.8254645864548186,0.7728420308264234,0.22715796917357656,1.0,-0.2634527506777225
1.1122244488977955,7.3e+19,0.8259633967985012,0.773513403419737,0.22648659658026304,1.0,-0.26237855452842085
1.122244488977956,7.3e+19,0.8264626748223948,0.7741847760130505,0.22581522398694953,1.0,-0.26130435837911925
1.1322645290581164,7.3e+19,0.8269624199433624,0.774856148606364,0.22514385139363602,1.0,-0.26023016222981765
1.1422845691382766,7.3e+19,0.8274626315630621,0.7755275211996775,0.2244724788003225,1.0,-0.259155966080516
1.152304609218437,7.3e+19,0.8279633090679462,0.776198893792991,0.223801106207009,1.0,-0.2580817699312144
1.162324649298597,7.3e+19,0.8284644518292624,0.7768702663863045,0.22312973361369548,1.0,-0.25700757378191275
1.1723446893787575,7.3e+19,0.8289660592030528,0.7775416389796179,0.22245836102038208,1.0,-0.2559333776326113
1.182364729458918,7.3e+19,0.8294681305301541,0.7782130115729314,0.22178698842706857,1.0,-0.2548591814833097
1.1923847695390781,7.3e+19,0.8299706651361982,0.778884384166245,0.22111561583375505,1.0,-0.25378498533400806
1.2024048096192386,7.3e+19,0.8304736623316116,0.7795557567595585,0.22044424324044154,1.0,-0.25271078918470646
1.2124248496993988,7.3e+19,0.8309771214116154,0.780227129352872,0.21977287064712803,1.0,-0.25163659303540487
1.222444889779559,7.3e+19,0.8314810416562257,0.7808985019461855,0.21910149805381451,1.0,-0.2505623968861032
1.2324649298597194,7.3e+19,0.8319854223302533,0.781569874539499,0.218430125460501,1.0,-0.2494882007368016
1.24248496993988,7.3e+19,0.8324902626833037,0.7822412471328125,0.2177587528671875,1.0,-0.24841400458749996
1.25250501002004,7.3e+19,0.8329955619497773,0.782912619726126,0.21708738027387398,1.0,-0.24733980843819836
1.2625250501002003,7.3e+19,0.8335013193488693,0.7835839923194394,0.21641600768056057,1.0,-0.24626561228889693
1.2725450901803608,7.3e+19,0.8340075340845693,0.7842553649127529,0.21574463508724706,1.0,-0.24519141613959528
1.282565130260521,7.3e+19,0.8345142053456622,0.7849267375060665,0.21507326249393355,1.0,-0.24411721999029368
