delta_25_Mg_iso,delta_25_Mg_iso_2sd,delta_26_Mg_iso,delta_26_Mg_iso_2sd,success,f_Mg,weathering_stage,d26Mg_silicate,F_silicate,F_carbonate,SWI
0.246690795408183,0.0151831009754298,0.494117227038956,0.0322511151498933,TRUE,2,unweathered,0.044117227038955986,1.26216E+11,1.73784E+11,42.07195109087599
0.274107822716146,0.0538588665681199,0.513559979587293,0.028978379537988,TRUE,2,unweathered,0.06355997958729304,1.25027E+11,1.74973E+11,41.67555140180602
0.290746841544274,0.0349196126748982,0.591809207597934,0.0387456439175511,TRUE,2,unweathered,0.14180920759793397,1.20459E+11,1.79541E+11,40.15296959921565
0.235403466398337,0.0282141433054486,0.463676103917432,0.0160726668818225,TRUE,2,unweathered,0.013676103917432014,1.28124E+11,1.71876E+11,42.70796074537234
0.260322361288539,0.0260827996586611,0.477752119067306,0.0353715293829243,TRUE,2,unweathered,0.027752119067306014,1.27234E+11,1.72766E+11,42.41149556266126
0.24035782473259,0.0597049688356023,0.443821115899797,0.035133465309073,TRUE,2,unweathered,-0.006178884,1.294E+11,1.706E+11,43.13325770009655
0.324280980238535,0.020743019562464,0.605229501196713,0.0370547262578409,TRUE,2,unweathered,0.15522950119671303,1.19709E+11,1.80291E+11,39.902943028687964
0.323537557168579,0.0155944495587563,0.631861726435919,0.0394747306761854,TRUE,2,unweathered,0.18186172643591897,1.18248E+11,1.81752E+11,39.415880006512324
0.271346787434369,0.0505167431709017,0.495994751880887,0.0598979594441085,TRUE,2,unweathered,0.045994751880886975,1.261E+11,1.739E+11,42.033343399801026
0.340440759808552,0.0475836572379976,0.633713864836013,0.0545235892542689,TRUE,2,unweathered,0.18371386483601299,1.18147E+11,1.81853E+11,39.38244904007065
0.30894873594436,0.0450103422442295,0.592385861357788,0.0262425045639868,TRUE,2,unweathered,0.14238586135778802,1.20426E+11,1.79574E+11,40.14216185383872
0.310176863219552,0.045131067629034,0.62782572385844,0.0364321270419641,TRUE,2,unweathered,0.17782572385844003,1.18467E+11,1.81533E+11,39.488926527892396
0.307445949608914,0.0325792098125821,0.595692322257365,0.0188909407226018,TRUE,2,unweathered,0.145692322257365,1.20241E+11,1.79759E+11,40.080303735963476
0.329878279734136,0.0538450930584554,0.669040581795174,0.00597287478039531,TRUE,2,unweathered,0.219040581795174,1.16266E+11,1.83734E+11,38.755487711913396
0.356599543880181,0.018746283679151,0.672088114741913,0.0616128143637842,TRUE,2,unweathered,0.22208811474191298,1.16107E+11,1.83893E+11,38.702335622720604
0.311343288770532,0.0333617054179529,0.614440623070363,0.0557681469232532,TRUE,2,unweathered,0.16444062307036295,1.19199E+11,1.80801E+11,39.733129697965516
0.3158863729601,0.030011143043167,0.600386907331326,0.0621459416948368,TRUE,2,unweathered,0.15038690733132604,1.19978E+11,1.80022E+11,39.9928030192147
0.319636132577522,0.0207438651008321,0.577057008483647,0.0456724998090904,TRUE,2,unweathered,0.12705700848364704,1.21294E+11,1.78706E+11,40.43145042986336
0.311183835229125,0.0553061956102461,0.629142544198025,0.0559699500990679,TRUE,2,unweathered,0.17914254419802494,1.18395E+11,1.81605E+11,39.46506401289596
0.249046685238568,0.0280248411889693,0.50978767504772,0.0260580767481131,TRUE,2,unweathered,0.059787675047720035,1.25256E+11,1.74744E+11,41.75187619666072
0.420410945372323,0.0482122528703537,0.81107487780544,0.0495668982142184,TRUE,2,unweathered,0.36107487780543995,1.09272E+11,1.90728E+11,36.42408837111294
0.354139921937914,0.0150491273991553,0.687753178709538,0.0453703220133664,TRUE,2,unweathered,0.237753178709538,1.15294E+11,1.84706E+11,38.43140558048242
0.347625980468656,0.0537098172820857,0.677712249519657,0.0564323011548889,TRUE,2,unweathered,0.22771224951965702,1.15814E+11,1.84186E+11,38.60462679528897
0.381631032031598,0.021641892968667,0.732551877951345,0.0542737925383858,TRUE,2,unweathered,0.282551877951345,1.13031E+11,1.86969E+11,37.67712831884787
0.336593188316308,0.0204976051591638,0.663401089890488,0.0239773401368608,TRUE,2,unweathered,0.21340108989048795,1.16563E+11,1.83437E+11,38.854232245930184
0.265119023439125,0.0320605358234386,0.519095280014588,0.021704073095369,TRUE,2,unweathered,0.06909528001458803,1.24692E+11,1.75308E+11,41.5640598239602
0.291534796679599,0.0342842112466101,0.586818911247618,0.0637167465865954,TRUE,2,unweathered,0.13681891124761797,1.2074E+11,1.7926E+11,40.24674227063418
0.2792425863058,0.0117134118335213,0.549767413184462,0.0159771475527647,TRUE,2,unweathered,0.09976741318446197,1.22871E+11,1.77129E+11,40.956917161398486
0.323536522063467,0.0343098508385272,0.652011812993621,0.0580219017648491,TRUE,2,unweathered,0.20201181299362098,1.17166E+11,1.82834E+11,39.05519465996123
0.318398263480629,0.0109915350836176,0.606874972221224,0.0279384500190368,TRUE,2,unweathered,0.15687497222122398,1.19618E+11,1.80382E+11,39.872501237952726
0.334995530109078,0.028479654623805,0.604700171159319,0.0264391464746641,TRUE,2,unweathered,0.15470017115931894,1.19738E+11,1.80262E+11,39.912745704070936
0.319529524718093,0.012077308515558,0.596223506549639,0.0499760533372849,TRUE,2,unweathered,0.14622350654963895,1.20211E+11,1.79789E+11,40.070383973315664
