f_assimilator,delta15N_mean,delta15N_ci68_lower,delta15N_ci68_upper,delta15N_ci95_lower,delta15N_ci95_upper
0.0,-0.5016960935940915,-1.5164481913142345,0.5142311696228773,-1.9251106521367263,0.9366465969549418
0.01020408163265306,-0.23551509691879846,-1.27547578636467,0.7883812770460507,-1.6616267282134032,1.1945548470635043
0.02040816326530612,0.02599413602043063,-0.9845575884119563,1.0411724440187493,-1.399326633834498,1.460922140344624
0.030612244897959183,0.2948464931520414,-0.7402300882914192,1.3366640487766746,-1.1489930800123735,1.7309835908368445
0.04081632653061224,0.564996045357504,-0.45884671947317157,1.5955426340669565,-0.882690696665928,1.9864673368079575
0.0510204081632653,0.773797683440346,-0.22786650287484098,1.7933501119442505,-0.6690747017377598,2.2303263818727497
0.061224489795918366,1.0135788486714143,-0.008634069546570113,2.0315400875475085,-0.4477360537536877,2.499446296173517
0.07142857142857142,1.2710348979481674,0.24613710034468497,2.291502232980287,-0.23903423117428466,2.7225460750675636
0.08163265306122448,1.5012627822284657,0.4893563792034791,2.5035998557030807,-0.005790238092085538,3.005260521645782
0.09183673469387754,1.7127223337711794,0.6928790858560733,2.74633298914372,0.20068796593823193,3.2271428785393015
0.1020408163265306,1.9541949326926624,0.9490019598437882,2.967641961590006,0.41649320258594874,3.49385980765161
0.11224489795918366,2.1379970477211496,1.133214196623195,3.1486951952517326,0.5971920189424326,3.6828960012577494
0.12244897959183673,2.3721179642329657,1.3510232169192007,3.3729053670483697,0.8065979016071024,3.913515746677256
0.13265306122448978,2.545816459894197,1.5358548904004008,3.5798846317154855,0.9677888227417345,4.168622896522536
0.14285714285714285,2.747420722372617,1.7271456797399405,3.763555152017535,1.1788156334745745,4.378321848261914
0.1530612244897959,2.95289649403437,1.9340912871176863,3.980317107200994,1.3139357251482788,4.598394417392804
0.16326530612244897,3.1239172779128954,2.1222055227975023,4.1164444732695555,1.5113692014126117,4.7604863015401255
0.17346938775510204,3.311882692669032,2.285773486078929,4.319750218795192,1.6426876197493436,4.944473613059335
0.18367346938775508,3.4824208866822564,2.4493746294827266,4.510622594747338,1.7934003420028244,5.181962256953505
0.19387755102040816,3.6458847889220727,2.6350140605841834,4.651335113617776,1.967334634551519,5.352030076760134
0.2040816326530612,3.833070606626187,2.7926860373804936,4.877553928293633,2.125118450102372,5.547479829389196
0.21428571428571427,3.978400974490419,2.9273285529046835,5.030104793299099,2.2562952291619798,5.706263203601528
0.22448979591836732,4.136055098064801,3.1000068312719256,5.1756692409133045,2.423032704615864,5.857447149298437
0.2346938775510204,4.288208865805263,3.246154023652834,5.3308835556881045,2.5217216392494306,6.027718403654488
0.24489795918367346,4.434666293210491,3.3807330496985686,5.490222405517182,2.6686731603313434,6.204837059621964
0.25510204081632654,4.578920623948279,3.514540873317468,5.647294785519592,2.7565352715392053,6.356135850667233
0.26530612244897955,4.688422876201689,3.64323446388883,5.741489319000567,2.876826740988204,6.500096224850019
0.2755102040816326,4.820370122240097,3.7750103021221357,5.867958554268832,2.989068896675703,6.602062728696893
0.2857142857142857,4.935621898429503,3.8570865383952633,5.994310536679162,3.0834068007893856,6.784985658827513
0.29591836734693877,5.0862299637309025,4.017470519273524,6.1514703554662065,3.2240477603201976,6.881038275548627
0.3061224489795918,5.156690062439326,4.097278919757435,6.246696824868644,3.3047830423892885,7.030995078559867
0.31632653061224486,5.241043206693489,4.138621865039405,6.33424114434448,3.3642895584530876,7.117153451499364
0.32653061224489793,5.348034056722968,4.250108059788252,6.450568624152496,3.4847757664710346,7.260150484459646
0.336734693877551,5.460208622898112,4.362325452802039,6.540433820792523,3.5601278081996104,7.3484390013659775
0.3469387755102041,5.502197791180477,4.419774743748757,6.585787051631815,3.6179935818453886,7.3795218700757435
0.3571428571428571,5.600766413256616,4.502486993224861,6.70060798181313,3.68232280021934,7.504929536199394
0.36734693877551017,5.711871186137728,4.6190844894150125,6.7988174044876715,3.743090092835894,7.606196608349018
0.37755102040816324,5.765984385252392,4.6564774283067845,6.891186327174153,3.8404122872255138,7.681249041642918
0.3877551020408163,5.809178440700994,4.715211610269181,6.917162540663094,3.882389787313563,7.741745630294887
0.39795918367346933,5.858703472725035,4.769483376314436,6.949624009794658,3.919953361626118,7.791935794581177
0.4081632653061224,5.912115479507547,4.8246347129794716,6.986109502432214,3.9583891932322754,7.857214259354656
0.4183673469387755,5.958992691341276,4.881395807998912,7.038741421120204,4.029168348195864,7.904046054195316
0.42857142857142855,6.02325518076477,4.90885274370796,7.1478896588536935,4.060615806506606,8.011067111311574
0.4387755102040816,6.056712793867097,4.929240329413204,7.187274339203351,4.08590033159931,8.043441012217635
0.44897959183673464,6.097851031202428,4.9644214952011145,7.231727412197943,4.094604986036516,8.066606519360466
0.4591836734693877,6.121941741054432,5.0070153553174075,7.223417573491026,4.154411756503547,8.080395198606332
0.4693877551020408,6.109525703907553,4.977450797515115,7.212942056472684,4.158512411045758,8.053951966636031
0.47959183673469385,6.168842658341555,5.034388571219926,7.302609228569675,4.185193244596568,8.138473368274134
0.4897959183673469,6.190278574398329,5.0762120619407805,7.3171038800765125,4.227721452974532,8.162337825097026
0.5,6.15148184227516,5.0045320040525825,7.256805361297579,4.171612760578684,8.100143052234761
