f_assimilator,delta15N_mean,delta15N_ci68_lower,delta15N_ci68_upper,delta15N_ci95_lower,delta15N_ci95_upper
0.0,-0.4992457078538787,-1.5340958964799516,0.5234960561960098,-1.9310049736078807,0.9248800551079366
0.010101010101010102,-0.24476048643466092,-1.264007863055093,0.7773663152492605,-1.6658617312911388,1.1972662655404231
0.020202020202020204,0.015879469839849714,-0.9808411708646714,1.0289912342595373,-1.4057430692518607,1.4442876457735496
0.030303030303030304,0.28623183113549505,-0.7385907425217528,1.306280798201883,-1.1544103992533459,1.7045692067255793
0.04040404040404041,0.5341083058530476,-0.4946780350296072,1.555435131134712,-0.9155638171249068,1.982092840862349
0.05050505050505051,0.787341920708009,-0.2474517499300767,1.8010579095806083,-0.6687033232994855,2.2225918093910475
0.06060606060606061,1.0178956227341989,0.015995083891599208,2.034167931752537,-0.4527350485543193,2.4907220009091993
0.07070707070707072,1.2755988648209036,0.2421365938250337,2.2881739349737362,-0.2244863531639215,2.7472485341184676
0.08080808080808081,1.4857037239594244,0.4594442956991515,2.498279507873619,-0.03072662099400013,2.967845546352575
0.09090909090909091,1.7331819733482516,0.7092922703838076,2.737293351790142,0.21771684114526943,3.2360952337561497
0.10101010101010102,1.9396262427483784,0.9295070892600914,2.9301455938774614,0.3814785952403808,3.451374914188494
0.11111111111111112,2.131277123936383,1.1298649783512182,3.1520469551900816,0.5895250857040658,3.6866218931418526
0.12121212121212122,2.3293943073301118,1.3019950441198027,3.367997533991502,0.732731980278486,3.8982359210266506
0.13131313131313133,2.5297788339446803,1.4935387382317586,3.5480109071446964,0.9290509798975548,4.130385539386901
0.14141414141414144,2.7328191846262686,1.7001524897517484,3.765726309885581,1.0837715794547609,4.366831060980829
0.15151515151515152,2.921298660199673,1.895588158232402,3.9665687569312276,1.284898093406305,4.528918413632877
0.16161616161616163,3.1071837630476744,2.0634566480885925,4.147062906892497,1.4534932678536974,4.765947102487027
0.17171717171717174,3.3023318636873666,2.2958510451900547,4.315174129145972,1.636314437418624,4.962099839715979
0.18181818181818182,3.4710828899048547,2.4233966086570824,4.518407262994922,1.7872882131495558,5.134341100126749
0.19191919191919193,3.6476114294273794,2.6060550266780673,4.686975472996625,1.9811919457604874,5.330855713324687
0.20202020202020204,3.7572198718666323,2.7192350412695268,4.809764562560684,2.0688408458216294,5.491578182670596
0.21212121212121213,3.9342050190718734,2.911767637895362,4.960069002577831,2.2358325236334466,5.6822240415369345
0.22222222222222224,4.103978677314109,3.0279694652727374,5.1476611577293605,2.3356850613075304,5.85758016068315
0.23232323232323235,4.247261732629471,3.1732085480470857,5.2924794656463545,2.4359249284364246,6.038433613732154
0.24242424242424243,4.401688829601174,3.34942640540398,5.4380468362621075,2.621166536799045,6.1661515112943865
0.25252525252525254,4.512519886069096,3.4677836986611523,5.587935277484251,2.710555042554565,6.299580860066023
0.26262626262626265,4.653341250478019,3.56070132319395,5.735936539133815,2.8066025794255687,6.460505773577314
0.27272727272727276,4.808249820374405,3.7201595438187596,5.9065168847841445,2.975301709649134,6.633429579486055
0.2828282828282829,4.901467303259168,3.8098376834429146,5.9912952703410225,3.0830186168341815,6.735043175552231
0.29292929292929293,5.021064725636204,3.935236185214553,6.082284746664973,3.18794042278597,6.855437014664415
0.30303030303030304,5.126788021050479,4.085926667903331,6.19362069176991,3.299386551495501,6.9457703381444125
0.31313131313131315,5.220371052885901,4.149209892967858,6.297817723171208,3.3817236091477882,7.080368308600829
0.32323232323232326,5.345610238020557,4.264292838355977,6.44046905835369,3.4332968474709533,7.191502762305772
0.33333333333333337,5.419442447023415,4.328392932734998,6.528127944597282,3.522568921381039,7.315410266156276
