f_assimilator,delta15N_mean,delta15N_ci68_lower,delta15N_ci68_upper
0.0,-0.47185550023609135,-1.4988389110041824,0.5016876527648662
0.02040816326530612,0.03694515755099075,-1.0024118140535967,1.0127378550201738
0.04081632653061224,0.544618338490029,-0.5044524092222934,1.560683126323841
0.061224489795918366,1.0148653499070042,0.06163822419656094,1.9831715754681805
0.08163265306122448,1.4897796506196914,0.4987274388909776,2.496822250696223
0.1020408163265306,1.9557071338325982,0.9484768657494371,2.9700859661490604
0.12244897959183673,2.325022891229783,1.3409172202264836,3.2893427834168523
0.14285714285714285,2.7090277467412434,1.7074812018879675,3.735397849080032
0.16326530612244897,3.1371677569814014,2.1158384588856234,4.151671450302966
0.18367346938775508,3.527503544665275,2.4810525459203006,4.524700774299009
0.2040816326530612,3.8406750840733612,2.804930017045229,4.864543246858153
0.22448979591836732,4.125998813615034,3.0698191258997047,5.1645287597438525
0.24489795918367346,4.489722873108002,3.4459009053958964,5.550107603783381
0.26530612244897955,4.704661970473451,3.7057206384692227,5.7149890045737175
0.2857142857142857,4.974697978979928,3.928664991894099,6.065982646531172
0.3061224489795918,5.185252400534831,4.115585536967432,6.24240744780714
0.32653061224489793,5.352140264354323,4.310965022712016,6.4434151471586265
0.3469387755102041,5.503612617664888,4.4298756280437654,6.661654965049911
0.36734693877551017,5.729612935355226,4.59142002675403,6.8270955285657005
0.3877551020408163,5.835904821628119,4.795307341786025,6.883716178574723
0.4081632653061224,5.971481229041719,4.935757547311215,7.007007966130972
0.42857142857142855,6.012995195449701,4.945382699954485,7.170407232610028
0.44897959183673464,6.0479786900074055,4.977124138383944,7.16672683055648
0.4693877551020408,6.168154779929417,5.065446237111682,7.346076300826195
0.4897959183673469,6.135009392445592,4.969383430377714,7.327206228712999
0.5102040816326531,6.159211039907175,4.986152030403612,7.281740565127145
0.5306122448979591,6.185997286723639,5.092807362782864,7.305755437604096
0.5510204081632653,6.062468004703973,4.936339165339706,7.1928977036271595
0.5714285714285714,5.980400843246797,4.894310441921824,7.036057166221704
0.5918367346938775,5.933036441564028,4.890321412356679,6.921992003045227
0.6122448979591836,5.835223028414925,4.734729878843525,6.954841472901904
0.6326530612244897,5.6908946604730115,4.550700594221727,6.847528963691785
0.6530612244897959,5.492561643952407,4.414061468471639,6.560400696370577
0.673469387755102,5.340235050197468,4.336089623024624,6.387029359505896
0.6938775510204082,5.158646852638468,4.092964872060069,6.254221758874222
0.7142857142857142,4.927143870572626,3.8628623000682993,6.032718160103687
0.7346938775510203,4.726777712286298,3.6687082896979466,5.778850773773669
0.7551020408163265,4.374099324892797,3.377863740759563,5.386245969811441
0.7755102040816326,4.074511872786467,3.0460176161127226,5.132396533432436
0.7959183673469387,3.912584020024115,2.9112629489433046,4.955763244552939
0.8163265306122448,3.4945791871479104,2.483075268383506,4.538369160779531
0.836734693877551,3.1462426099282057,2.0942646446111706,4.142114471366249
0.8571428571428571,2.764262599127623,1.730179186882349,3.7511554876658533
0.8775510204081632,2.4041721191705663,1.3596172898230707,3.416229655802792
0.8979591836734693,1.926747129937403,0.9242245837989472,2.91499658561526
0.9183673469387754,1.49325127886556,0.46233458547942025,2.5164768111013065
0.9387755102040816,1.0850337700974872,0.035512711173302666,2.067958008721587
0.9591836734693877,0.5435235984986447,-0.4681135213429117,1.5804797704967584
0.9795918367346939,0.06622277532625429,-0.9377361355391115,1.0306194338608454
1.0,-0.47940966311693506,-1.482071921959498,0.5155686863499587
