f_assimilator,delta15N_mean,delta15N_ci68_lower,delta15N_ci68_upper,delta15N_ci95_lower,delta15N_ci95_upper
0.0,-0.4792344442932874,-1.5161378629294968,0.5459058837857411,-1.937819985807014,0.9262908290356967
0.010101010101010102,-0.23473685373536873,-1.2471432176765502,0.77922209187512,-1.6524436463060421,1.2011219935376416
0.020202020202020204,0.0437000938443172,-0.9682184717828322,1.0577168724501746,-1.3932422456888853,1.454418777069614
0.030303030303030304,0.28776794244660187,-0.7446122773539274,1.3172459904521026,-1.1430797928221852,1.7071551569860612
0.04040404040404041,0.5339348654286052,-0.498768368789185,1.5581422087870314,-0.9294787039899561,1.9772353126691018
0.05050505050505051,0.779788328622962,-0.22504562223751762,1.7751787137334964,-0.684577031762029,2.2507323123337337
0.06060606060606061,1.0188829614817208,-0.002539748708117392,2.062656578999434,-0.44957937348170063,2.4910501872456496
0.07070707070707072,1.2336886681270756,0.23056716424639132,2.2829387880061365,-0.21863323781956695,2.7486424565867864
0.08080808080808081,1.4710341542974292,0.4463255493666348,2.4798532824988655,-0.022029101025398692,2.97473636054736
0.09090909090909091,1.6870317105195587,0.6621017004300047,2.7387963534954585,0.17432401869580935,3.236268145536179
0.10101010101010102,1.9277709803899366,0.8967996261414567,2.941714529943472,0.4093106748305979,3.4432261261456745
0.11111111111111112,2.1242063327466822,1.1014427431187188,3.151603133240173,0.5603301224440422,3.683875903256028
0.12121212121212122,2.349901550562131,1.3195426987814325,3.380310247069232,0.7636124872572495,3.926674446052889
0.13131313131313133,2.528755014363505,1.5098650393373656,3.555557953283443,0.9515728914324202,4.113287772818646
0.14141414141414144,2.7398788548124746,1.7259939728946374,3.769160563522474,1.1510020867405928,4.352290363281796
0.15151515151515152,2.9033484111338046,1.868457125746979,3.947204080016989,1.2948647081751004,4.527480392756491
0.16161616161616163,3.1139024762549,2.105865938933904,4.115874493779208,1.4712587762529323,4.764021191030902
0.17171717171717174,3.2645399435304405,2.2248228263701724,4.3100864053066035,1.6066798944269625,4.941836885358815
